pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
7sn3	H	L	0	C	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	12/08/21	Structure of human SARS-CoV-2 spike glycoprotein trimer bound by neutralizing antibody C1C-A3 Fab (variable region)	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Pan, J., Abraham, J., Shankar, S.	3.1	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
4hjg	B	A	0	H | E	protein | protein	NA | NA	immunoglobulin g-binding protein a | protein l fragment	immune system	10/12/12	Meditope-enabled trastuzumab	HOMO SAPIENS; STAPHYLOCOCCUS AUREUS; FINEGOLDIA MAGNA	homo sapiens	homo sapiens	staphylococcus aureus | finegoldia magna	Donaldson, J.M., Zer, C., Avery, K.N., Bzymek, K.P., Horne, D.A., Williams, J.C.	2.0	X-RAY DIFFRACTION	0.195	0.153	False	True	IGHV3	IGKV1	Kappa	None	None	None
6icc	H	L	0	A	protein	NA	pdz tandem fragment with pa tag	SIGNALING PROTEIN	09/05/18	The NZ-1 Fab complexed with the PDZ tandem fragment of A. aeolicus S2P homolog with the PA12 tag inserted between the residues 181 and 186	AQUIFEX AEOLICUS VF5; RATTUS NORVEGICUS	rattus norvegicus	rattus norvegicus	aquifex aeolicus vf5	Tamura, R., Oi, R., Kaneko, M.K., Kato, Y., Nogi, T.	2.0	X-RAY DIFFRACTION	0.260	0.213	False	True	IGHV5	IGLV3	Lambda	None	None	None	None	None
5c8j	C	D	0	L	protein	NA	protein mj0480	MEMBRANE PROTEIN	06/25/15	A YidC-like protein in the archaeal plasma membrane	HOMO SAPIENS; METHANOCALDOCOCCUS JANNASCHII (STRAIN ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440)	homo sapiens	homo sapiens	methanocaldococcus jannaschii (strain atcc43067 / dsm 2661 / jal-1 / jcm 10045 / nbrc 100440) 	Borowska, M.T., Dominik, P.K., Anghel, S.A., Kossiakoff, A.A., Keenan, R.J.	3.502	X-RAY DIFFRACTION	0.302	0.253	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
5c8j	G	H	0	K	protein	NA	protein mj0480	MEMBRANE PROTEIN	06/25/15	A YidC-like protein in the archaeal plasma membrane	HOMO SAPIENS; METHANOCALDOCOCCUS JANNASCHII (STRAIN ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440)	homo sapiens	homo sapiens	methanocaldococcus jannaschii (strain atcc43067 / dsm 2661 / jal-1 / jcm 10045 / nbrc 100440) 	Borowska, M.T., Dominik, P.K., Anghel, S.A., Kossiakoff, A.A., Keenan, R.J.	3.502	X-RAY DIFFRACTION	0.302	0.253	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
5c8j	E	F	0	J	protein	NA	protein mj0480	MEMBRANE PROTEIN	06/25/15	A YidC-like protein in the archaeal plasma membrane	HOMO SAPIENS; METHANOCALDOCOCCUS JANNASCHII (STRAIN ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440)	homo sapiens	homo sapiens	methanocaldococcus jannaschii (strain atcc43067 / dsm 2661 / jal-1 / jcm 10045 / nbrc 100440) 	Borowska, M.T., Dominik, P.K., Anghel, S.A., Kossiakoff, A.A., Keenan, R.J.	3.502	X-RAY DIFFRACTION	0.302	0.253	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
5c8j	A	B	0	I	protein	NA	protein mj0480	MEMBRANE PROTEIN	06/25/15	A YidC-like protein in the archaeal plasma membrane	HOMO SAPIENS; METHANOCALDOCOCCUS JANNASCHII (STRAIN ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440)	homo sapiens	homo sapiens	methanocaldococcus jannaschii (strain atcc43067 / dsm 2661 / jal-1 / jcm 10045 / nbrc 100440) 	Borowska, M.T., Dominik, P.K., Anghel, S.A., Kossiakoff, A.A., Keenan, R.J.	3.502	X-RAY DIFFRACTION	0.302	0.253	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
2vdk	H	L	0	A	protein	NA	integrin alpha-iib	CELL ADHESION/IMMUNE SYSTEM	10/10/07	Re-refinement of Integrin AlphaIIbBeta3 Headpiece	HOMO SAPIENS; MUS MUSCULUS	mus musculus	mus musculus	homo sapiens	Springer, T., Zhu, J., Xiao, T.	2.8	X-RAY DIFFRACTION	0.205	0.161	False	False	IGHV14	IGKV14	Kappa	None	None	None	None	None
3mj9	H	L	0	A	protein	NA	junctional adhesion molecule-like	IMMUNE SYSTEM	04/12/10	Crystal structure of JAML in complex with the stimulatory antibody HL4E10	MUS MUSCULUS; CRICETULUS MIGRATORIUS	cricetulus migratorius	cricetulus migratorius	mus musculus	Verdino, P., Wilson, I.A.	2.95	X-RAY DIFFRACTION	0.287	0.222	False	False	IGHV2	IGLV3	Lambda	7.69e-09	-11.06	SPR	25	21220118
3ejz	C	D	0	A	protein	NA	h(+)/cl(-) exchange transporter clca	IMMUNE SYSTEM/PROTON TRANSPORT	09/18/08	Structure of E203V mutant E.coli Cl-/H+ exchanger, CLC-ec1	ESCHERICHIA COLI; MUS MUSCULUS	mus musculus	mus musculus	escherichia coli	Lim, H.-H., Miller, C.	2.9	X-RAY DIFFRACTION	0.281	0.252	False	False	IGHV4	IGKV4	Kappa	None	None	None	None	None
3ejz	E	F	0	B	protein	NA	h(+)/cl(-) exchange transporter clca	IMMUNE SYSTEM/PROTON TRANSPORT	09/18/08	Structure of E203V mutant E.coli Cl-/H+ exchanger, CLC-ec1	ESCHERICHIA COLI; MUS MUSCULUS	mus musculus	mus musculus	escherichia coli	Lim, H.-H., Miller, C.	2.9	X-RAY DIFFRACTION	0.281	0.252	False	False	IGHV4	IGKV4	Kappa	None	None	None	None	None
3ejy	C	D	0	A	protein	NA	h(+)/cl(-) exchange transporter clca	IMMUNE SYSTEM/PROTON TRANSPORT	09/18/08	Structure of E203H mutant of E.coli Cl-/H+ antiporter, CLC-ec1	ESCHERICHIA COLI; MUS MUSCULUS	mus musculus	mus musculus	escherichia coli	Lim, H.-H., Miller, C.	3.2	X-RAY DIFFRACTION	0.279	0.244	False	False	IGHV4	IGKV4	Kappa	None	None	None	None	None
3ejy	E	F	0	B	protein	NA	h(+)/cl(-) exchange transporter clca	IMMUNE SYSTEM/PROTON TRANSPORT	09/18/08	Structure of E203H mutant of E.coli Cl-/H+ antiporter, CLC-ec1	ESCHERICHIA COLI; MUS MUSCULUS	mus musculus	mus musculus	escherichia coli	Lim, H.-H., Miller, C.	3.2	X-RAY DIFFRACTION	0.279	0.244	False	False	IGHV4	IGKV4	Kappa	None	None	None	None	None
6k7o	F	G	0	R	protein	NA	leukocyte immunoglobulin-like receptor subfamily b member4 	IMMUNE SYSTEM	06/08/19	Complex structure of LILRB4 and h128-3 antibody	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Song, H., Chai, Y., Xu, X., Gao, F.G.	3.004	X-RAY DIFFRACTION	0.270	0.228	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
6k7o	H	L	0	A	protein	NA	leukocyte immunoglobulin-like receptor subfamily b member4 	IMMUNE SYSTEM	06/08/19	Complex structure of LILRB4 and h128-3 antibody	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Song, H., Chai, Y., Xu, X., Gao, F.G.	3.004	X-RAY DIFFRACTION	0.270	0.228	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
6k7o	D	E	0	Q	protein	NA	leukocyte immunoglobulin-like receptor subfamily b member4 	IMMUNE SYSTEM	06/08/19	Complex structure of LILRB4 and h128-3 antibody	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Song, H., Chai, Y., Xu, X., Gao, F.G.	3.004	X-RAY DIFFRACTION	0.270	0.228	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
6k7o	B	C	0	P	protein	NA	leukocyte immunoglobulin-like receptor subfamily b member4 	IMMUNE SYSTEM	06/08/19	Complex structure of LILRB4 and h128-3 antibody	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Song, H., Chai, Y., Xu, X., Gao, F.G.	3.004	X-RAY DIFFRACTION	0.270	0.228	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7u5b	H	L	0	I	protein	NA	kallikrein-5	HYDROLASE/IMMUNE SYSTEM	12/14/22	Structure of Human KLK5 bound to anti-KLK5 Fab	Homo sapiens; synthetic construct	synthetic construct	synthetic construct	homo sapiens	Yin, J., Sudhamsu, J.	2.371	X-RAY DIFFRACTION	0.270	0.222	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7u5b	A	B	0	J	protein	NA	kallikrein-5	HYDROLASE/IMMUNE SYSTEM	12/14/22	Structure of Human KLK5 bound to anti-KLK5 Fab	Homo sapiens; synthetic construct	synthetic construct	synthetic construct	homo sapiens	Yin, J., Sudhamsu, J.	2.371	X-RAY DIFFRACTION	0.270	0.222	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7kn3	M	N	0	B	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	09/22/21	Crystal structure of SARS-CoV-2 spike protein receptor-binding domain complexed with a pre-pandemic antibody S-B8 Fab	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Liu, H., Zhu, X., Wilson, I.A.	2.251	X-RAY DIFFRACTION	0.222	0.186	False	True	IGHV3	IGKV4	Kappa	None	None	None	None	None
7kn3	H	L	0	A	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	09/22/21	Crystal structure of SARS-CoV-2 spike protein receptor-binding domain complexed with a pre-pandemic antibody S-B8 Fab	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Liu, H., Zhu, X., Wilson, I.A.	2.251	X-RAY DIFFRACTION	0.222	0.186	False	True	IGHV3	IGKV4	Kappa	None	None	None	None	None
7kn4	M	N	0	B	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	09/22/21	Crystal structure of SARS-CoV-2 spike protein receptor-binding domain complexed with a pre-pandemic antibody S-E6 Fab	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Liu, H., Wilson, I.A.	2.7	X-RAY DIFFRACTION	0.291	0.241	False	True	IGHV4	IGLV1	Lambda	None	None	None	None	None
7kn4	H	L	0	A	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	09/22/21	Crystal structure of SARS-CoV-2 spike protein receptor-binding domain complexed with a pre-pandemic antibody S-E6 Fab	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Liu, H., Wilson, I.A.	2.7	X-RAY DIFFRACTION	0.291	0.241	False	True	IGHV4	IGLV1	Lambda	None	None	None	None	None
7kn6	C	NA	0	A	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	11/04/20	Crystal structure of SARS-CoV-2 receptor binding domain complexed with nanobody VHH V and antibody Fab CC12.3	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; VICUGNA PACOS; HOMO SAPIENS	vicugna pacos		severe acute respiratory syndrome coronavirus2 	Liu, H., Yuan, M., Zhu, X., Wu, N.C., Wilson, I.A.	2.55	X-RAY DIFFRACTION	0.239	0.193	False	True	IGHV1	NA	NA	None	None	None	None	None
7kn6	H	L	0	A	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	11/04/20	Crystal structure of SARS-CoV-2 receptor binding domain complexed with nanobody VHH V and antibody Fab CC12.3	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; VICUGNA PACOS; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Liu, H., Yuan, M., Zhu, X., Wu, N.C., Wilson, I.A.	2.55	X-RAY DIFFRACTION	0.239	0.193	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
7kn7	H	L	0	A	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	11/04/20	Crystal structure of SARS-CoV-2 receptor binding domain complexed with nanobody VHH W and antibody Fab CC12.3	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; VICUGNA PACOS; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Liu, H., Yuan, M., Zhu, X., Wu, N.C., Wilson, I.A.	2.73	X-RAY DIFFRACTION	0.241	0.203	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
7kn7	B	NA	0	A	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	11/04/20	Crystal structure of SARS-CoV-2 receptor binding domain complexed with nanobody VHH W and antibody Fab CC12.3	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; VICUGNA PACOS; HOMO SAPIENS	vicugna pacos		severe acute respiratory syndrome coronavirus2 	Liu, H., Yuan, M., Zhu, X., Wu, N.C., Wilson, I.A.	2.73	X-RAY DIFFRACTION	0.241	0.203	False	True	IGHV1	NA	NA	None	None	None	None	None
3ldb	C	B	0	A	protein	NA	bifunctional arginine demethylase and lysyl-hydroxylasejmjd6 	IMMUNE SYSTEM	01/12/10	Structure of JMJD6 complexd with ALPHA-KETOGLUTARATE and Fab Fragment.	HOMO SAPIENS; CRICETULUS MIGRATORIUS	cricetulus migratorius	cricetulus migratorius	homo sapiens	Hong, X., Zang, J., White, J., Kappler, J.W., Wang, C., Zhang, G.	2.7	X-RAY DIFFRACTION	0.285	0.250	False	True	IGHV3	IGKV8	Kappa	None	None	None	None	None
4lvn	C	B	0	A	protein	NA	subtilisin-like serine protease	hydrolase/inhibitor/immune system	07/26/13	Crystal structure of PfSUB1-prodomain-NIMP.M7 Fab complex	PLASMODIUM FALCIPARUM; MUS MUSCULUS	mus musculus	mus musculus	plasmodium falciparum	Withers-Martinez, C., Blackman, M.J.	2.25	X-RAY DIFFRACTION	0.237	0.195	False	False	IGHV3	IGKV4	Kappa	None	None	None	None	None
4lvo	C	B	0	A	protein	NA	subtilisin-like serine protease	HYDROLASE/INHIBITOR/IMMUNE SYSTEM	07/26/13	Crystal structure of PfSUB1-prodomain-NIMP.M7 Fab complex with added CaCl2	PLASMODIUM FALCIPARUM; MUS MUSCULUS	mus musculus	mus musculus	plasmodium falciparum	Withers-Martinez, C., Blackman, M.J.	2.26	X-RAY DIFFRACTION	0.236	0.191	False	False	IGHV3	IGKV4	Kappa	None	None	None	None	None
4lvh	K	L	0	J	protein	NA	hemagglutinin	IMMUNE SYSTEM	07/26/13	Insight into highly conserved H1 subtype-specific epitopes in influenza virus hemagglutinin	INFLUENZA A VIRUS; MUS MUSCULUS	mus musculus	mus musculus	influenza a virus	Kim, K.H., Cho, K.J., Kim, S., Seok, J.H., Lee, J.-H.	2.8	X-RAY DIFFRACTION	0.274	0.232	False	False	IGHV5	IGKV3	Kappa	None	None	None	None	None
4lvh	H	I	0	G	protein	NA	hemagglutinin	IMMUNE SYSTEM	07/26/13	Insight into highly conserved H1 subtype-specific epitopes in influenza virus hemagglutinin	INFLUENZA A VIRUS; MUS MUSCULUS	mus musculus	mus musculus	influenza a virus	Kim, K.H., Cho, K.J., Kim, S., Seok, J.H., Lee, J.-H.	2.8	X-RAY DIFFRACTION	0.274	0.232	False	False	IGHV5	IGKV3	Kappa	None	None	None	None	None
4lvh	B	C	0	A	protein	NA	hemagglutinin	IMMUNE SYSTEM	07/26/13	Insight into highly conserved H1 subtype-specific epitopes in influenza virus hemagglutinin	INFLUENZA A VIRUS; MUS MUSCULUS	mus musculus	mus musculus	influenza a virus	Kim, K.H., Cho, K.J., Kim, S., Seok, J.H., Lee, J.-H.	2.8	X-RAY DIFFRACTION	0.274	0.232	False	False	IGHV5	IGKV3	Kappa	None	None	None	None	None
4lvh	E	F	0	D	protein	NA	hemagglutinin	IMMUNE SYSTEM	07/26/13	Insight into highly conserved H1 subtype-specific epitopes in influenza virus hemagglutinin	INFLUENZA A VIRUS; MUS MUSCULUS	mus musculus	mus musculus	influenza a virus	Kim, K.H., Cho, K.J., Kim, S., Seok, J.H., Lee, J.-H.	2.8	X-RAY DIFFRACTION	0.274	0.232	False	False	IGHV5	IGKV3	Kappa	None	None	None	None	None
5ken	Q	P	0	K	protein	NA	ebola surface glycoprotein, gp1	VIRAL PROTEIN/IMMUNE SYSTEM	06/09/16	EBOV GP in complex with variable Fab domains of IgGs c4G7 and c13C6	HOMO SAPIENS; ZAIRE EBOLAVIRUS (STRAIN MAYINGA-76); ZAIRE EBOLAVIRUS	homo sapiens	homo sapiens	zaire ebolavirus	Pallesen, J., Murin, C.D., de Val, N., Cottrell, C.A., Hastie, K.M., Turner, H.L., Fusco, M.L., Flyak, A.I., Zeitlin, L., Crowe Jr., J.E., Andersen, K.G., Saphire, E.O., Ward, A.B.	4.3	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV8	IGKV6	Kappa	None	None	None	None	None
5ken	C	D	0	B	protein	NA	ebola surface glycoprotein, gp2	VIRAL PROTEIN/IMMUNE SYSTEM	06/09/16	EBOV GP in complex with variable Fab domains of IgGs c4G7 and c13C6	HOMO SAPIENS; ZAIRE EBOLAVIRUS (STRAIN MAYINGA-76); ZAIRE EBOLAVIRUS	homo sapiens	homo sapiens	zaire ebolavirus (strain mayinga-76)	Pallesen, J., Murin, C.D., de Val, N., Cottrell, C.A., Hastie, K.M., Turner, H.L., Fusco, M.L., Flyak, A.I., Zeitlin, L., Crowe Jr., J.E., Andersen, K.G., Saphire, E.O., Ward, A.B.	4.3	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV12	Kappa	None	None	None	None	None
5ken	N	O	0	M	protein	NA	ebola surface glycoprotein, gp2	VIRAL PROTEIN/IMMUNE SYSTEM	06/09/16	EBOV GP in complex with variable Fab domains of IgGs c4G7 and c13C6	HOMO SAPIENS; ZAIRE EBOLAVIRUS (STRAIN MAYINGA-76); ZAIRE EBOLAVIRUS	homo sapiens	homo sapiens	zaire ebolavirus (strain mayinga-76)	Pallesen, J., Murin, C.D., de Val, N., Cottrell, C.A., Hastie, K.M., Turner, H.L., Fusco, M.L., Flyak, A.I., Zeitlin, L., Crowe Jr., J.E., Andersen, K.G., Saphire, E.O., Ward, A.B.	4.3	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV12	Kappa	None	None	None	None	None
5ken	J	I	0	E	protein	NA	ebola surface glycoprotein, gp1	VIRAL PROTEIN/IMMUNE SYSTEM	06/09/16	EBOV GP in complex with variable Fab domains of IgGs c4G7 and c13C6	HOMO SAPIENS; ZAIRE EBOLAVIRUS (STRAIN MAYINGA-76); ZAIRE EBOLAVIRUS	homo sapiens	homo sapiens	zaire ebolavirus	Pallesen, J., Murin, C.D., de Val, N., Cottrell, C.A., Hastie, K.M., Turner, H.L., Fusco, M.L., Flyak, A.I., Zeitlin, L., Crowe Jr., J.E., Andersen, K.G., Saphire, E.O., Ward, A.B.	4.3	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV8	IGKV6	Kappa	None	None	None	None	None
5ken	G	H	0	F	protein	NA	ebola surface glycoprotein, gp2	VIRAL PROTEIN/IMMUNE SYSTEM	06/09/16	EBOV GP in complex with variable Fab domains of IgGs c4G7 and c13C6	HOMO SAPIENS; ZAIRE EBOLAVIRUS (STRAIN MAYINGA-76); ZAIRE EBOLAVIRUS	homo sapiens	homo sapiens	zaire ebolavirus (strain mayinga-76)	Pallesen, J., Murin, C.D., de Val, N., Cottrell, C.A., Hastie, K.M., Turner, H.L., Fusco, M.L., Flyak, A.I., Zeitlin, L., Crowe Jr., J.E., Andersen, K.G., Saphire, E.O., Ward, A.B.	4.3	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV12	Kappa	None	None	None	None	None
5kel	Q	U	0	I	protein	NA	ebola surface glycoprotein, gp2	VIRAL PROTEIN/IMMUNE SYSTEM	06/09/16	EBOV GP in complex with variable Fab domains of IgGs c2G4 and c13C6	ZAIRE EBOLAVIRUS; HOMO SAPIENS; ZAIRE EBOLAVIRUS (STRAIN MAYINGA-76)	homo sapiens	homo sapiens	zaire ebolavirus	Pallesen, J., Murin, C.D., de Val, N., Cottrell, C.A., Hastie, K.M., Turner, H.L., Fusco, M.L., Flyak, A.I., Zeitlin, L., Crowe Jr., J.E., Andersen, K.G., Saphire, E.O., Ward, A.B.	4.3	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV6	IGKV12	Kappa	None	None	None	None	None
5kel	C	D	0	A	protein	NA	ebola surface glycoprotein, gp1	VIRAL PROTEIN/IMMUNE SYSTEM	06/09/16	EBOV GP in complex with variable Fab domains of IgGs c2G4 and c13C6	ZAIRE EBOLAVIRUS; HOMO SAPIENS; ZAIRE EBOLAVIRUS (STRAIN MAYINGA-76)	homo sapiens	homo sapiens	zaire ebolavirus (strain mayinga-76)	Pallesen, J., Murin, C.D., de Val, N., Cottrell, C.A., Hastie, K.M., Turner, H.L., Fusco, M.L., Flyak, A.I., Zeitlin, L., Crowe Jr., J.E., Andersen, K.G., Saphire, E.O., Ward, A.B.	4.3	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV8	IGKV6	Kappa	None	None	None	None	None
5kel	P	T	0	G	protein	NA	ebola surface glycoprotein, gp2	VIRAL PROTEIN/IMMUNE SYSTEM	06/09/16	EBOV GP in complex with variable Fab domains of IgGs c2G4 and c13C6	ZAIRE EBOLAVIRUS; HOMO SAPIENS; ZAIRE EBOLAVIRUS (STRAIN MAYINGA-76)	homo sapiens	homo sapiens	zaire ebolavirus	Pallesen, J., Murin, C.D., de Val, N., Cottrell, C.A., Hastie, K.M., Turner, H.L., Fusco, M.L., Flyak, A.I., Zeitlin, L., Crowe Jr., J.E., Andersen, K.G., Saphire, E.O., Ward, A.B.	4.3	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV6	IGKV12	Kappa	None	None	None	None	None
5kel	H	L	0	B	protein	NA	ebola surface glycoprotein, gp2	VIRAL PROTEIN/IMMUNE SYSTEM	06/09/16	EBOV GP in complex with variable Fab domains of IgGs c2G4 and c13C6	ZAIRE EBOLAVIRUS; HOMO SAPIENS; ZAIRE EBOLAVIRUS (STRAIN MAYINGA-76)	homo sapiens	homo sapiens	zaire ebolavirus	Pallesen, J., Murin, C.D., de Val, N., Cottrell, C.A., Hastie, K.M., Turner, H.L., Fusco, M.L., Flyak, A.I., Zeitlin, L., Crowe Jr., J.E., Andersen, K.G., Saphire, E.O., Ward, A.B.	4.3	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV6	IGKV12	Kappa	None	None	None	None	None
5kel	M	O	0	F	protein	NA	ebola surface glycoprotein, gp1	VIRAL PROTEIN/IMMUNE SYSTEM	06/09/16	EBOV GP in complex with variable Fab domains of IgGs c2G4 and c13C6	ZAIRE EBOLAVIRUS; HOMO SAPIENS; ZAIRE EBOLAVIRUS (STRAIN MAYINGA-76)	homo sapiens	homo sapiens	zaire ebolavirus (strain mayinga-76)	Pallesen, J., Murin, C.D., de Val, N., Cottrell, C.A., Hastie, K.M., Turner, H.L., Fusco, M.L., Flyak, A.I., Zeitlin, L., Crowe Jr., J.E., Andersen, K.G., Saphire, E.O., Ward, A.B.	4.3	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV8	IGKV6	Kappa	None	None	None	None	None
5kel	J	N	0	E	protein	NA	ebola surface glycoprotein, gp1	VIRAL PROTEIN/IMMUNE SYSTEM	06/09/16	EBOV GP in complex with variable Fab domains of IgGs c2G4 and c13C6	ZAIRE EBOLAVIRUS; HOMO SAPIENS; ZAIRE EBOLAVIRUS (STRAIN MAYINGA-76)	homo sapiens	homo sapiens	zaire ebolavirus (strain mayinga-76)	Pallesen, J., Murin, C.D., de Val, N., Cottrell, C.A., Hastie, K.M., Turner, H.L., Fusco, M.L., Flyak, A.I., Zeitlin, L., Crowe Jr., J.E., Andersen, K.G., Saphire, E.O., Ward, A.B.	4.3	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV8	IGKV6	Kappa	None	None	None	None	None
6oz2	H	L	0	G	protein	NA	clade a/e 93th057 hiv-1 gp120 core	IMMUNE SYSTEM	05/15/19	Crystal structure of the broadly neutralizing antibody N49P6 Fab in complex with HIV-1 Clade A/E strain 93TH057 gp120 core.	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Tolbert, W.D., Pazgier, M.	2.55	X-RAY DIFFRACTION	0.273	0.219	False	True	unknown	IGLV2	Lambda	None	None	None	None	None
3ld8	C	B	0	A	protein	NA	bifunctional arginine demethylase and lysyl-hydroxylasejmjd6 	IMMUNE SYSTEM	01/12/10	Structure of JMJD6 and Fab Fragments	HOMO SAPIENS; CRICETULUS MIGRATORIUS	cricetulus migratorius	cricetulus migratorius	homo sapiens	Hong, X., Zang, J., White, J., Kappler, J.W., Wang, C., Zhang, G.	2.7	X-RAY DIFFRACTION	0.260	0.233	False	True	IGHV3	IGKV8	Kappa	None	None	None	None	None
5w0d	B	C	0	A	protein	NA	hemagglutinin ha1	VIRAL PROTEIN/IMMUNE SYSTEM	05/30/17	Inferred precursor (UCA) of the human antibody lineage K03.12 in complex with influenza hemagglutinin H1 Solomon Islands/03/2006	INFLUENZA A VIRUS (A/SOLOMON ISLANDS/3/2006(H1N1)); HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus (a/solomonislands/3/2006(h1n1)) 	McCarthy, K.R., Harrison, S.C.	1.899	X-RAY DIFFRACTION	0.234	0.196	False	True	IGHV1	IGLV2	Lambda	None	None	None	None	None
3vrl	H	L	0	C	protein	NA	gag protein	IMMUNE SYSTEM/VIRAL PROTEIN	04/12/12	Crystal structure of BMJ4 p24 capsid protein in complex with A10F9 Fab	HUMAN IMMUNODEFICIENCY VIRUS 1; MUS MUSCULUS	mus musculus	mus musculus	human immunodeficiency virus 1	Gu, Y., Cao, F., Li, S., Yuan, Y.A., Xia, N.	3.2	X-RAY DIFFRACTION	0.292	0.211	False	False	IGHV5	IGKV12	Kappa	None	None	None	None	None
3vrl	E	F	0	D	protein	NA	gag protein	IMMUNE SYSTEM/VIRAL PROTEIN	04/12/12	Crystal structure of BMJ4 p24 capsid protein in complex with A10F9 Fab	HUMAN IMMUNODEFICIENCY VIRUS 1; MUS MUSCULUS	mus musculus	mus musculus	human immunodeficiency virus 1	Gu, Y., Cao, F., Li, S., Yuan, Y.A., Xia, N.	3.2	X-RAY DIFFRACTION	0.292	0.211	False	False	IGHV5	IGKV12	Kappa	None	None	None	None	None
4k4m	I	M	0	B	protein	NA	erythrocyte binding antigen 175	IMMUNE SYSTEM	04/12/13	Crystal structure of PfEBA-175 RII in complex with a Fab fragment from inhibitory antibody R217	PLASMODIUM FALCIPARUM; MUS MUSCULUS	mus musculus	mus musculus	plasmodium falciparum	Chen, E., Paing, M.M., Salinas, N.D., Sim, B.K.L., Tolia, N.H.	4.5	X-RAY DIFFRACTION	0.285	0.231	False	False	IGHV1	IGKV3	Kappa	None	None	None
